object_id,bundle_id,section_code,crc32,page_id,page_number,page_size_key,element_count,text_count,line_count,frame_count,image_count,table_count,page_signature,page_signature_source
1724_25,doc_5efb363f,ИОС5.1,5EFB363F,doc_5efb363f_p_20,20,1191.0x842.0r270,3703,31,1665,10,1,1,cf6f509453f72d9fcb2762b256c53f2489e956fe,size:1191.0x842.0r270|elements:3703|text:31|lines:1665|frames:10|images:1|tables:1|groups:frames:10:436538.3:0.0:0:0;images:1:652.3:0.0:0:0;lines:1665:169364.8:5920.9:0:0;other_vector:1995:4943.6:0.0:0:0;tables:1:58886.8:0.0:1:50;text:31:18980.1:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_1,1,595.4x842.0r0,29,24,0,3,1,1,4623bd2589b3ef27ae894b1649a92dab52c4c625,size:595.4x842.0r0|elements:29|text:24|lines:0|frames:3|images:1|tables:1|groups:frames:3:6333.3:0.0:0:0;images:1:5489.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:9296.8:0.0:1:2;text:24:163111.3:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_2,2,595.4x842.0r0,32,26,0,3,2,1,f001d3a66aa30aa42e7949f88c640d78b3c036f1,size:595.4x842.0r0|elements:32|text:26|lines:0|frames:3|images:2|tables:1|groups:frames:3:6333.3:0.0:0:0;images:2:7510.4:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:9296.8:0.0:1:2;text:26:167821.4:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_3,3,595.4x841.8r0,159,31,125,0,1,2,b87e6810f0c4e66e5dc0b2c2c2ac41107b29d1d7,size:595.4x841.8r0|elements:159|text:31|lines:125|frames:0|images:1|tables:2|groups:frames:0:0.0:0.0:0:0;images:1:652.3:0.0:0:0;lines:125:233.6:238.3:0:0;other_vector:0:0.0:0.0:0:0;tables:2:247294.4:0.0:2:68;text:31:39794.0:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_4,4,595.3x841.9r0,69,65,0,1,2,1,903bdb85cf104a84a75fa6f41414c89d2952a935,size:595.3x841.9r0|elements:69|text:65|lines:0|frames:1|images:2|tables:1|groups:frames:1:416261.6:0.0:0:0;images:2:25161.9:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:196500.3:0.0:1:44;text:65:137305.1:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_5,5,595.4x841.8r0,101,100,0,0,0,1,5688ab5404864873527756365e73d23727d388f1,size:595.4x841.8r0|elements:101|text:100|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:447830.9:0.0:1:89;text:100:256823.6:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_6,6,595.4x841.8r0,30,29,0,0,0,1,f79d25ee2b4486c2a46330b1ebdc00267a63e033,size:595.4x841.8r0|elements:30|text:29|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:447505.2:0.0:1:60;text:29:36384.6:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_7,7,595.3x841.9r0,108,107,0,0,0,1,a71603554a34ab07bfca8f300b38baac1d01dc08,size:595.3x841.9r0|elements:108|text:107|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:142806.1:0.0:1:27;text:107:282216.0:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_8,8,595.3x841.9r0,50,49,0,0,0,1,bcdbb70de74f6fce1031aefa601d4d4d28b3ffb0,size:595.3x841.9r0|elements:50|text:49|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:142806.1:0.0:1:27;text:49:253613.5:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_9,9,595.3x841.9r0,70,69,0,0,0,1,ad9b62c285ace3c15ae6dfcf7e120bbd56012c94,size:595.3x841.9r0|elements:70|text:69|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:142806.1:0.0:1:27;text:69:273758.0:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_10,10,595.3x841.9r0,53,52,0,0,0,1,826235ae2e94b3ccf96a79beed4b35e83c5a95c3,size:595.3x841.9r0|elements:53|text:52|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:142806.1:0.0:1:27;text:52:258897.8:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_11,11,595.3x841.9r0,21,20,0,0,0,1,5ba067a7b443f9c55fbeb6fe33322a1f939b1a61,size:595.3x841.9r0|elements:21|text:20|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:142806.1:0.0:1:27;text:20:66868.1:0.0:0:0
1724_25,doc_c8e972bf,ИОС5.4.1,C8E972BF,doc_c8e972bf_p_12,12,595.3x841.9r0,24,23,0,0,0,1,b849adffc33454306d0b63439cf5d89697408626,size:595.3x841.9r0|elements:24|text:23|lines:0|frames:0|images:0|tables:1|groups:frames:0:0.0:0.0:0:0;images:0:0.0:0.0:0:0;lines:0:0.0:0.0:0:0;other_vector:0:0.0:0.0:0:0;tables:1:447796.0:0.0:1:327;text:23:25642.9:0.0:0:0
